,datetime,Open,Close,High,Low,Volume,AdjClose,serial_number
925,1973-11-20 00:00:00-03:00,17.171875,17.0,17.171875,16.695312,1012800.0,1.4572928,925.0
926,1973-11-21 00:00:00-03:00,17.0,17.296875,17.359375,16.875,848000.0,1.4827411,926.0
927,1973-11-23 00:00:00-03:00,17.265625,17.03125,17.265625,17.0,427200.0,1.4599713,927.0
928,1973-11-26 00:00:00-03:00,16.84375,16.625,16.84375,16.625,784000.0,1.4251463,928.0
929,1973-11-27 00:00:00-03:00,16.625,16.46875,16.765625,16.46875,788800.0,1.4117525,929.0
930,1973-11-28 00:00:00-03:00,16.53125,16.828125,16.921875,16.53125,665600.0,1.4425594,930.0
931,1973-11-29 00:00:00-03:00,16.828125,16.625,16.9375,16.578125,702400.0,1.4251463,931.0
932,1973-11-30 00:00:00-03:00,16.625,16.5625,16.75,16.4375,521600.0,1.4197892,932.0
933,1973-12-03 00:00:00-03:00,16.546875,16.15625,16.546875,15.96875,1004800.0,1.3849639,933.0
934,1973-12-04 00:00:00-03:00,16.15625,15.953125,16.28125,15.953125,899200.0,1.3675513,934.0
935,1973-12-05 00:00:00-03:00,15.953125,15.828125,16.109375,15.8125,870400.0,1.3568357,935.0
936,1973-12-06 00:00:00-03:00,15.828125,16.296875,16.296875,15.8203125,742400.0,1.3970194,936.0
937,1973-12-07 00:00:00-03:00,16.296875,16.5625,16.6875,16.21875,852800.0,1.4197892,937.0
938,1973-12-10 00:00:00-03:00,16.5625,16.4375,16.625,16.3125,934400.0,1.4090734,938.0
939,1973-12-11 00:00:00-03:00,16.4375,15.71875,16.46875,15.703125,1017600.0,1.34746,939.0
940,1973-12-12 00:00:00-03:00,15.71875,15.6640625,15.8125,15.5625,872000.0,1.3427719,940.0
941,1973-12-13 00:00:00-03:00,15.6640625,15.75,15.9375,15.65625,478400.0,1.350138,941.0
942,1973-12-14 00:00:00-03:00,15.71875,15.375,15.71875,15.21875,1622400.0,1.3179927,942.0
943,1973-12-17 00:00:00-03:00,15.28125,15.0,15.28125,14.890625,718400.0,1.2858464,943.0
944,1973-12-18 00:00:00-03:00,15.0,15.59375,15.59375,14.921875,713600.0,1.3367453,944.0
945,1973-12-19 00:00:00-03:00,15.59375,15.671875,15.875,15.515625,758400.0,1.3434426,945.0
946,1973-12-20 00:00:00-03:00,15.671875,15.1875,15.6875,15.15625,734400.0,1.3019198,946.0
947,1973-12-21 00:00:00-03:00,15.1875,15.03125,15.25,14.984375,667200.0,1.2885255,947.0
948,1973-12-24 00:00:00-03:00,14.9375,14.84375,14.9375,14.6953125,486400.0,1.2724525,948.0
949,1973-12-26 00:00:00-03:00,15.21875,15.53125,15.53125,15.21875,684800.0,1.3313868,949.0
950,1973-12-27 00:00:00-03:00,15.71875,15.9375,16.015625,15.71875,702400.0,1.3662121,950.0
951,1973-12-28 00:00:00-03:00,15.9375,15.578125,15.9375,15.53125,486400.0,1.3354042,951.0
952,1973-12-31 00:00:00-03:00,15.578125,15.421875,15.59375,15.3125,564800.0,1.3220111,952.0
953,1974-01-02 00:00:00-03:00,15.421875,15.171875,15.4375,15.0625,809600.0,1.3005798,953.0
954,1974-01-03 00:00:00-03:00,15.171875,14.953125,15.359375,14.921875,859200.0,1.2818276,954.0
955,1974-01-04 00:00:00-03:00,14.875,14.421875,14.875,14.34375,1486400.0,1.2362881,955.0
956,1974-01-07 00:00:00-03:00,14.421875,14.203125,14.421875,14.0625,1155200.0,1.2175362,956.0
957,1974-01-08 00:00:00-03:00,14.203125,14.25,14.421875,14.125,899200.0,1.2215546,957.0
958,1974-01-09 00:00:00-03:00,14.25,14.234375,14.265625,14.078125,617600.0,1.2202157,958.0
959,1974-01-10 00:00:00-03:00,14.234375,14.3125,14.6875,14.21875,816000.0,1.2269121,959.0
960,1974-01-11 00:00:00-03:00,14.5,15.0,15.0,14.5,659200.0,1.2858464,960.0
961,1974-01-14 00:00:00-03:00,15.0,14.8125,15.359375,14.6875,880000.0,1.2697738,961.0
962,1974-01-15 00:00:00-03:00,14.8125,14.9453125,15.140625,14.78125,649600.0,1.2811589,962.0
963,1974-01-16 00:00:00-03:00,14.9453125,15.234375,15.28125,14.921875,680000.0,1.3059368,963.0
964,1974-01-17 00:00:00-03:00,15.453125,15.671875,15.71875,15.453125,888000.0,1.3434426,964.0
965,1974-01-18 00:00:00-03:00,15.671875,15.375,15.6875,15.34375,792000.0,1.3179927,965.0
966,1974-01-21 00:00:00-03:00,15.3125,15.3125,15.3125,14.890625,681600.0,1.3126346,966.0
967,1974-01-22 00:00:00-03:00,15.3125,15.609375,15.609375,15.203125,496000.0,1.3380843,967.0
968,1974-01-23 00:00:00-03:00,15.609375,15.5,15.625,15.484375,608000.0,1.3287078,968.0
969,1974-01-24 00:00:00-03:00,15.5,15.40625,15.515625,15.25,401600.0,1.3206716,969.0
970,1974-01-25 00:00:00-03:00,15.40625,15.4375,15.546875,15.3125,433600.0,1.3233503,970.0
971,1974-01-28 00:00:00-03:00,15.4375,15.2734375,15.5,15.25,488000.0,1.3092862,971.0
972,1974-01-29 00:00:00-03:00,15.265625,15.203125,15.265625,15.03125,505600.0,1.3032597,972.0
973,1974-01-30 00:00:00-03:00,15.328125,15.390625,15.53125,15.328125,558400.0,1.3193315,973.0
974,1974-01-31 00:00:00-03:00,15.390625,15.328125,15.609375,15.3203125,564800.0,1.3139747,974.0
975,1974-02-01 00:00:00-03:00,15.28125,15.078125,15.28125,15.015625,491200.0,1.2925442,975.0
976,1974-02-04 00:00:00-03:00,15.046875,14.8125,15.046875,14.8125,497600.0,1.2697738,976.0
977,1974-02-05 00:00:00-03:00,14.8125,14.796875,14.96875,14.703125,420800.0,1.268434,977.0
978,1974-02-06 00:00:00-03:00,14.796875,14.828125,14.90625,14.71875,364800.0,1.2780225,978.0
979,1974-02-07 00:00:00-03:00,14.828125,14.765625,14.828125,14.625,403200.0,1.2726355,979.0
980,1974-02-08 00:00:00-03:00,14.765625,14.5703125,14.828125,14.53125,465600.0,1.2558024,980.0
981,1974-02-11 00:00:00-03:00,14.5703125,14.25,14.59375,14.15625,580800.0,1.2281946,981.0
982,1974-02-12 00:00:00-03:00,14.25,14.265625,14.375,14.15625,489600.0,1.2295415,982.0
983,1974-02-13 00:00:00-03:00,14.265625,14.328125,14.5,14.25,593600.0,1.2349281,983.0
984,1974-02-14 00:00:00-03:00,14.328125,14.15625,14.34375,14.0625,617600.0,1.220114,984.0
985,1974-02-15 00:00:00-03:00,14.21875,14.59375,14.59375,14.21875,561600.0,1.2578225,985.0
986,1974-02-19 00:00:00-03:00,14.59375,14.484375,14.875,14.421875,667200.0,1.2483959,986.0
